Customer ID,total_orders,total_items,total_spend,unique_products
12346,12,74285,77556.46,27
12608,1,323,415.79,16
12745,2,467,723.85,20
12746,1,97,254.55,17
12747,26,2640,8898.48,85
12748,336,37109,53539.64,2286
12749,9,2360,6897.36,260
12777,1,458,519.45,26
12819,1,344,540.52,19
12820,11,1964,2689.52,131
12821,2,162,220.8,13
12822,2,550,948.88,41
12823,18,930,6501.5,1
12824,1,232,397.12,25
12825,2,139,518.63,20
12826,12,1915,2800.75,93
12827,3,197,430.15,19
12828,6,494,1018.71,46
12829,3,550,385.3,17
12830,6,9848,6814.64,13
12831,3,303,451.11,16
12832,2,195,383.03000000000003,27
12833,1,156,417.38,24
12834,1,110,312.38,18
12835,41,2349,5996.83,138
12836,15,2231,6559.7300000000005,280
12837,2,194,662.66,83
12838,10,1606,2975.91,230
12839,26,6578,9669.12,156
12840,7,2258,4041.9700000000003,109
12841,40,5008,6958.2,307
12842,4,887,1917.99,45
12843,30,3028,6583.36,130
12844,4,223,648.6,88
12845,4,204,354.09000000000003,26
12846,1,1,15.58,1
12847,2,1497,1609.0,100
12848,1,58,208.0,16
12849,6,1855,3042.4700000000003,123
12850,1,200,330.0,2
12851,2,157,280.76,71
12852,1,149,311.55,17
12853,11,1668,3907.5,111
12854,7,1630,2970.9700000000003,188
12855,4,240,612.84,65
12856,6,1076,2170.78,155
12857,6,1420,3688.0,71
12858,1,51,147.27,36
12859,1,292,575.1,21
12860,1,26,54.22,16
12861,1,27,68.25,4
12862,2,611,984.62,119
12863,6,895,2792.55,24
12864,2,447,299.57,5
12867,13,7876,7829.26,365
12868,8,1170,2043.76,86
12869,1,144,337.66999999999996,35
12870,3,906,1676.95,85
12871,3,484,744.02,13
12872,12,1642,3283.96,217
12873,3,786,2027.3,33
12875,5,5187,1356.9900000000002,2
12877,20,2237,2942.14,149
12878,2,547,854.99,38
12879,3,370,573.22,7
12880,2,279,640.13,32
12881,1,21,298.0,7
12882,2,246,1463.04,12
12883,4,196,703.47,39
12884,1,43,309.05,7
12885,3,655,1175.22,66
12886,2,770,1378.4,75
12887,1,100,222.4,13
12888,2,76,354.12,4
12889,4,124,385.46000000000004,25
12890,2,457,706.02,124
12891,11,2325,840.5,2
12892,1,140,263.38,18
12893,1,90,176.55,27
12894,1,33,157.35,21
12895,2,210,372.8,22
12897,4,249,514.25,10
12898,2,235,296.21,27
12899,1,108,366.4,17
12900,1,139,340.33000000000004,13
12901,28,23075,17654.54,30
12902,1,66,138.68,10
12903,1,493,833.5300000000001,41
12904,2,294,496.06,59
12905,2,532,1018.42,52
12906,5,1749,2919.81,55
12907,2,177,508.91,23
12908,5,3000,1776.0,1
12909,8,1948,3103.19,120
12910,13,3632,5796.52,75
12911,1,807,1651.72,220
12912,5,670,1662.3,17
12913,13,3086,6283.24,52
12914,1,336,223.98,9
12915,4,411,975.1,46
12916,7,1681,4479.73,82
12917,6,1104,4359.2,45
12918,1,1,10953.5,1
12919,6,673,1335.19,34
12920,4,420,486.64,59
12921,74,21328,35233.24,322
12922,1,370,405.38,28
12923,3,230,770.42,54
12924,12,1423,2469.4,56
12925,3,649,729.33,46
12926,4,754,1523.97,202
12927,1,145,197.31,11
12928,12,2899,4304.89,94
12929,1,37,117.85,8
12930,2,252,415.8,20
12931,57,62906,92347.34,37
12932,8,1609,1698.56,69
12933,8,949,1636.63,227
12934,1,31,181.65,2
12935,15,3201,4243.86,113
12936,4,559,1063.9,56
12937,9,1983,3097.61,128
12938,1,140,114.14,9
12939,20,10328,25264.8,24
12940,2,404,899.69,87
12941,1,381,377.49,27
12942,3,198,675.6,68
12943,2,222,496.5,22
12944,2,289,604.51,29
12945,2,446,900.11,47
12946,1,149,324.45,20
12947,6,1165,1603.99,83
12948,9,1304,2317.43,89
12949,22,8233,15526.7,347
12950,3,1380,1843.0,13
12951,15,1662,3213.7200000000003,110
12952,4,653,1387.79,64
12953,2,364,828.8100000000001,45
12954,1,83,162.45,10
12955,11,3664,4757.16,81
12956,4,340,521.89,42
12957,13,4686,8706.97,402
12958,2,118,467.34,45
12959,1,109,150.95,8
12960,4,1379,1322.0700000000002,49
12961,1,180,211.99,37
12962,2,129,266.39,15
12963,12,1637,3235.79,129
12964,1,56,132.24,26
12965,1,282,769.8100000000001,108
12966,1,75,160.18,10
12967,3,912,2938.52,47
12968,1,73,135.95,5
12969,1,55,122.45,5
12970,10,954,1453.6,280
12971,116,14306,15704.6,102
12972,4,844,1161.2,69
12973,1,31,385.55,6
12974,2,104,408.95,27
12975,6,911,2100.09,92
12976,8,2684,3156.38,106
12977,4,128,513.88,54
12978,5,1394,2502.82,126
12980,21,1910,16245.78,7
12981,2,242,372.21999999999997,12
12982,8,1729,2744.81,139
12983,1,638,490.08,30
12984,1,26,97.5,4
12985,2,1533,1239.38,73
12986,10,1164,2729.84,61
12987,5,585,1312.21,61
12988,1,126,505.82,75
12989,33,6935,13551.75,50
12990,7,480,955.5,9
12991,3,483,764.82,45
12992,1,21,93.35,6
12993,8,751,1259.63,57
12994,3,459,974.42,52
12995,1,108,211.32,3
12996,1,122,355.5,22
12997,8,1186,2110.91,65
12998,3,1124,920.08,58
12999,3,342,455.88,25
13000,4,548,1032.5,57
13001,33,13448,24042.65,300
13002,3,201,414.13,19
13003,3,103,149.05,4
13004,36,8768,11650.85,417
13005,4,462,999.68,41
13006,1,55,81.57,4
13007,1,59,175.25,11
13008,3,379,612.13,31
13009,1,120,234.0,4
13010,2,323,330.12,10
13011,1,13,50.550000000000004,3
13012,11,1559,2957.83,95
13013,29,5661,11097.43,289
13014,11,1979,5381.08,140
13015,11,3527,6579.78,260
13016,3,527,789.89,39
13017,1,48,204.0,1
13018,35,6746,9763.16,401
13019,6,397,1229.95,46
13020,2,278,618.96,38
13021,17,2546,4887.24,166
13023,3,585,1449.03,69
13024,2,181,555.87,26
13025,1,241,323.39,13
13026,9,2466,1733.08,52
13027,19,42840,17239.2,7
13028,2,798,661.3199999999999,40
13029,5,194,1927.3,13
13030,2,348,752.44,76
13031,5,2309,3292.84,275
13032,9,1274,2815.96,147
13033,2,98,220.55,12
13034,3,406,756.82,42
13035,3,926,1364.2,27
13036,1,38,307.1,6
13037,12,2130,3914.9500000000003,181
13038,3,360,908.46,24
13039,4,290,1010.73,37
13040,2,355,676.99,38
13041,4,335,799.13,23
13042,3,812,1488.59,164
13043,1,254,516.42,13
13044,11,2548,4848.05,356
13045,3,405,808.9200000000001,41
13046,3,505,949.25,50
13047,24,3328,8428.53,190
13048,9,2661,4049.13,125
13049,4,620,1408.24,19
13050,35,7015,11986.52,513
13051,2,72,155.8,4
13052,7,1424,3119.33,161
13053,1,47,127.65,17
13055,4,1821,2321.11,145
13056,1,158,209.48,18
13057,3,456,709.59,34
13058,3,52,271.40000000000003,5
13059,10,860,2291.77,155
13060,1,123,307.53000000000003,15
13061,1,107,248.61,10
13062,1,343,346.98,11
13063,1,116,188.4,12
13064,6,668,1666.84,58
13065,5,381,1055.05,49
13066,2,322,470.8,48
13067,3,131,508.51,24
13068,2,200,344.0,1
13069,38,15171,9284.45,573
13070,4,372,751.7,12
13071,1,30,129.22,12
13072,1,69,177.15,7
13073,2,261,418.08,25
13074,4,826,1378.74,26
13075,1,485,919.61,22
13076,1,44,135.4,9
13077,11,2468,2740.65,208
13078,57,12032,29018.06,153
13079,6,158,419.18,11
13080,4,193,280.73,17
13081,28,40077,56838.37,738
13082,21,8466,7335.75,99
13083,3,307,395.43,19
13084,1,144,122.39999999999999,2
13085,8,944,2433.28,50
13086,1,155,439.33000000000004,47
13087,1,86,313.64,15
13088,1,76,236.11,19
13089,203,58932,113416.91,857
13090,24,3247,13091.74,163
13091,3,1339,2321.82,41
13092,12,664,2140.28,52
13093,55,25971,54144.25,199
13094,13,1896,2209.44,5
13095,1,144,74.39999999999999,6
13096,1,6,419.7000000000001,1
13097,28,5345,13324.1,390
13098,28,15968,28882.44,156
13099,1,288,207.36,1
13101,4,478,695.4,48
13102,37,6366,11380.1,212
13103,3,426,709.64,27
13104,9,834,1709.1,15
13105,1,100,72.0,1
13106,2,231,603.46,15
13107,9,4316,5253.07,142
13108,2,745,748.46,27
13109,3,757,1134.03,57
13110,12,763,2957.4700000000003,167
13111,1,180,321.88000000000005,12
13112,1,11,20.599999999999998,2
13113,37,4435,18230.07,166
13114,1,74,234.38,16
13115,10,3934,5494.7,178
13116,1,291,501.14,30
13117,18,1852,2255.66,122
13118,9,834,2415.41,111
13119,1,110,134.9,11
13120,1,12,30.6,1
13121,1,252,283.73,50
13122,2,585,922.39,54
13123,2,268,506.75,36
13124,4,2738,4641.66,216
13125,1,53,148.62,20
13126,13,3289,3774.81,183
13127,1,127,259.17,15
13128,1,31,263.5,1
13129,2,296,233.25,10
13130,1,32,64.0,2
13131,7,1523,3313.77,107
13132,1,20,77.3,3
13133,3,55,200.45,12
13134,6,1364,2475.23,110
13135,2,4423,3371.45,18
13136,13,3109,6274.56,204
13137,16,4238,7586.94,628
13138,7,593,1274.01,41
13139,8,4614,8202.98,214
13140,5,572,1054.92,89
13141,17,5159,7656.08,285
13142,1,258,307.09000000000003,23
13143,1,198,405.1,23
13144,2,29,135.35,6
13145,7,265,1128.52,5
