gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Probability,Actual_Churn,Risk_Level
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,77.15,77.15,0.9427345,1,High
1,1,1,0,1,1,2,1,0,0,0,0,2,2,0,1,2,95.1,95.1,0.9412012,1,High
1,0,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,95.45,95.45,0.93673164,1,High
1,1,1,0,7,1,2,1,0,0,2,0,2,2,0,1,2,99.25,665.45,0.9362993,1,High
1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,76.45,76.45,0.935935,1,High
1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.5,79.5,0.9306191,1,High
0,1,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.05,85.05,0.9250863,1,High
0,0,0,0,1,1,2,1,0,2,0,0,0,0,0,1,3,79.15,79.15,0.92229086,0,High
1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85,90.85,0.9200537,1,High
1,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,0,98.05,713.0,0.9147227,1,High
0,0,0,0,3,1,2,1,0,0,0,0,2,2,0,1,2,96.6,291.9,0.90120685,1,High
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.6,69.6,0.89729285,1,High
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,69.25,69.25,0.894994,1,High
0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,2,78.8,78.8,0.8936136,1,High
1,0,0,0,3,1,2,1,0,0,2,0,2,2,0,1,2,100.95,329.95,0.8925234,1,High
1,1,1,0,7,1,2,1,0,0,2,0,2,2,0,1,2,101.95,700.85,0.8921803,1,High
0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,79.35,79.35,0.8911168,1,High
0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,75.7,75.7,0.8903174,1,High
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,0.8891366,0,High
0,0,1,1,1,1,0,1,0,0,0,0,2,0,0,1,3,80.05,80.05,0.88184816,1,High
